1,100255
2,99961
3,99627
4,99325
5,99000
6,98736
7,98510
8,98298
9,98162
10,98013
11,97890
12,97741
13,97561
14,97338
15,97134
16,96959
17,96732
18,96494
19,96247
20,96000
21,95728
22,95454
23,95232
24,95049
25,94883
26,94768
27,94675
28,94620
29,94555
30,94486
31,94417
32,94347
33,94293
34,94242
35,94185
36,94130
37,94088
38,94055
39,94024
40,94007
41,93976
42,93943
43,93909
44,93859
45,93812
46,93782
47,93752
48,93738
49,93723
50,93707
51,93692
52,93639
53,93589
54,93537
55,93496
56,93463
57,93413
58,93361
59,93307
60,93253
61,93196
62,93139
63,93084
64,93026
65,92968
66,92910
67,92857
68,92805
69,92753
70,92708
71,92660
72,92617
73,92578
74,92541
75,92503
76,92457
77,92419
78,92377
79,92337
80,92295
81,92246
82,92192
83,92121
84,92039
85,91957
86,91879
87,91804
88,91727
89,91651
90,91577
91,91509
92,91436
93,91352
